time,distance
18.08,1297.41
18.13,1286.5
18.181,1275.52
18.231,1264.73
18.282,1253.92
18.332,1243.11
18.383,1232.36
18.433,1221.52
18.484,1210.91
18.534,1200.25
18.585,1189.63
18.636,1178.98
18.686,1168.41
18.737,1157.83
18.787,1147.31
18.838,1136.78
18.888,1122.77
18.939,1112.38
18.989,1101.88
19.04,1091.53
19.09,1081.11
19.141,1070.78
19.191,1060.41
19.242,1050.08
19.293,1039.7
19.343,1029.44
19.394,1019.18
19.444,1009.01
19.495,998.711
19.545,988.563
19.596,978.313
19.646,968.164
19.697,957.93
19.747,947.859
19.798,937.727
19.849,927.531
19.899,917.5
19.95,907.422
20,897.383
20.051,887.305
20.101,877.273
20.152,867.141
20.202,857.203
20.253,847.148
20.304,837.023
20.355,826.727
20.405,813.859
20.456,803.984
20.506,794
20.557,784.078
20.607,774.094
20.658,764.219
20.708,754.266
20.759,744.391
20.809,734.469
20.86,724.469
20.91,714.672
20.961,704.844
21.011,694.914
21.062,685.078
21.113,675.133
21.163,665.352
21.214,655.484
21.264,645.523
21.315,635.773
21.365,625.859
21.416,616.094
21.466,606.25
21.517,596.406
21.567,586.57
21.618,576.602
21.668,566.922
21.719,557.133
21.77,547.258
21.82,537.484
21.871,524.383
21.921,517.859
21.972,504.617
22.022,494.938
22.073,485.18
22.123,475.242
22.174,465.578
22.224,455.727
22.275,446.008
22.325,436.195
22.376,426.141
22.427,416.094
22.477,406.656
22.528,397.117
22.578,387.391
22.629,377.508
22.679,367.719
22.73,358.063
22.78,348.367
22.831,338.602
22.881,328.906
22.932,319.219
22.983,309.539
23.033,299.875
23.084,290.219
23.134,280.445
23.185,270.766
23.235,261.219
23.286,251.555
23.336,242
23.387,232.492
23.437,222.906
23.488,210.227
23.538,200.695
23.589,191.07
23.64,181.727
23.69,172.367
23.741,163.008
23.791,153.711
23.842,144.398
23.892,135.219
23.943,127.375
23.993,121.82
24.044,118.195
24.094,115.656
24.145,113.43
24.196,111.219
24.246,108.969
24.297,106.727
24.347,104.438
24.398,102.18
24.448,99.9219
24.499,97.6875
24.549,95.4688
24.6,93.2969
24.65,91.1719
24.701,89.1094
24.752,87.1563
24.802,85.2344
24.853,83.3438
24.903,81.5
24.954,79.7109
25.006,78
25.056,75.8281
25.107,74.3438
25.157,72.9063
25.208,71.5938
25.258,70.3281
25.309,69.1406
25.36,68.0469
25.41,67.0703
25.461,66.5
25.511,67.1953
25.562,69.7109
25.612,73.9219
25.663,79.4219
25.713,85.8594
25.764,93.0703
25.814,100.977
25.865,109.266
25.916,117.406
25.966,125.289
26.017,132.789
